qid,snippet_a,snippet_b,distractor
LIT006,"A British author created a brilliant detective living at 221B Baker Street.","Sherlock Holmes was created by Arthur Conan Doyle.","Agatha Christie created Hercule Poirot and Miss Marple, not Holmes."
LIT007,"A fantasy series follows a young wizard attending a school of witchcraft and wizardry.","This book series is 'Harry Potter.'","'The Chronicles of Narnia' is a separate fantasy series by C. S. Lewis."
LIT008,"A dystopian novel features Big Brother and the Thought Police in a totalitarian state.","'1984' was written by George Orwell.","Aldous Huxley wrote 'Brave New World,' a different dystopia."
LIT009,"A Shakespearean tragedy depicts a Scottish general’s bloody rise to the throne and disastrous fall.","The tragic king in that play is Macbeth.","'King Lear' is a different Shakespeare tragedy about an aging monarch."
LIT010,"A narrative poem with the refrain 'Nevermore' made its author famous in American literature.","'The Raven' was written by Edgar Allan Poe.","T. S. Eliot wrote 'The Waste Land,' not 'The Raven.'"
GEO001,"The Sahara covers much of North Africa and is Earth’s largest hot desert by area.","Among hot deserts, the Sahara is the largest.","Some classifications call Antarctica the largest desert overall due to low precipitation."
GEO002,"The Nile flows northward through northeastern Africa into the Mediterranean Sea.","It is widely cited as the world’s longest river at about 6,650 km.","Some measurements argue the Amazon may be longer depending on sources."
GEO003,"Japan’s national government is based in its capital city on Honshu.","The capital of Japan is Tokyo.","Kyoto is a historic former capital, not the current one."
GEO004,"In 19th‑century European writings, one continent was pejoratively referred to as the 'Dark Continent.'","That label was applied to Africa.","Australia was sometimes called the 'unknown south land' but not the 'Dark Continent.'"
GEO005,"Mount Everest straddles the frontier between Nepal and another country’s Tibet Autonomous Region.","Thus, Everest lies on the border of Nepal and China.","India borders Nepal but not at Everest’s summit region."
GEO006,"The deepest oceanic trenches, including the Mariana Trench, are located in one major ocean.","Therefore, the Pacific Ocean is the deepest.","The Atlantic Ocean contains deep trenches but not the very deepest."
GEO007,"The smallest independent state by both area and population is an enclave within Rome.","This state is Vatican City.","Monaco is very small but larger than Vatican City."
GEO008,"By total area, one non‑contiguous U.S. state far exceeds all others.","Alaska is the largest U.S. state by area.","Texas is the second‑largest state by area."
GEO009,"A nearly enclosed sea connects the Atlantic and separates southern Europe from North Africa.","This is the Mediterranean Sea.","The Black Sea lies between southeastern Europe and western Asia."
GEO010,"Australia’s planned capital lies inland between Sydney and Melbourne.","The capital city of Australia is Canberra.","Sydney is the largest city but not the capital."
